Timestamp,1.  Do you use Video Streaming Platform?,2. How frequently you watch or stream online platforms ?,3. Which of the following Video Streaming Platform do you currently use?,4. What do you watch the most on video streaming platform? ,5. Which type of web series or movies do you prefer most?,6.  Have you watch or familiar with these original web series of Netflix.,7. Have you watch or familiar with these original web series of Amazon  Prime.,8. Have you watch or familiar with these original web series of Hotstar.,9. Have you watch or familiar with these original web series of Hulu.,10. What is your age?,11. From where did you get the idea of these web series.,12. On what basis you frequently choose your movies or web series.,13. How long you are using these video streaming platforms.,14. Choose the features which you think is essential on your streaming platforms.,15. How was your overall experience of video streaming platforms according to original web series.,16. Would you like to give any suggestion for the improvement.
3/5/2021 17:28,Yes,Once or twice in a week,"Netflix, Prime, Hotstar","Original web series, Movies, Sports and News","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, Money Heist","Mirzapur, Tandav","Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",More than 2 years,"Search option, Recommendation",Excellent,No this is already very Awesome
3/5/2021 17:41,Yes,Daily,Prime,"Original web series, Movies, Sports and News","Action, Drama, Comedy",Sacred Games,Mirzapur,Special OPS,None of the above,18-30,Social Media,"Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No any suggestion
3/5/2021 17:42,Yes,Daily,Hotstar,Original web series,Comedy,Money Heist,Breath into the shadow ,Special OPS,Woke,18-30,"Family/Friends Recommendation, Social Media",Director,More than 2 years,Ease of use,Excellent,Yes
3/5/2021 17:45,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Horror, Others",Sacred Games,"Mirzapur, Tandav","Special OPS, Hostages, Criminal Justice",Helstorm,less than 18,Social Media,Story,Between 1 and 2 years,Recommendation,Excellent,Nothing
3/5/2021 18:47,Yes,Daily,"Prime, Hotstar","Original web series, Movies","Action, Drama, Comedy, Others","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Tandav","Special OPS, Hostages, Criminal Justice",None of the above,18-30,Social Media,"Cast, Story",Between 1 and 2 years,"Recommendation, Ease of use",Good,nope
3/5/2021 18:52,Yes,Monthly,"Netflix, Hotstar",Original web series,"Action, Drama, Horror",13 Reasons Why,Mirzapur,"Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,Recommendation,Excellent,No 
3/5/2021 19:25,Yes,Daily,Prime,"Original web series, Documentaries, Sports and News","Action, Comedy, Horror","Sacred Games, Money Heist","Mirzapur, Made in heaven, Breath into the shadow ","Special OPS, Hostages, Criminal Justice",None of the above,18-30,Family/Friends Recommendation,Story,More than 2 years,Ease of use,Excellent,None
3/5/2021 20:05,Yes,Daily,"Netflix, Prime","Original web series, Movies","Action, Comedy",Sacred Games,Mirzapur,Criminal Justice,Monsterland,18-30,Family/Friends Recommendation,Story,Between 1 and 2 years,Search option,Excellent,Better
3/5/2021 21:45,Yes,Once or twice in a week,Hotstar,"Movies, Sports and News","Action, Comedy","Sacred Games, 13 Reasons Why",Mirzapur,Criminal Justice,None of the above,18-30,Family/Friends Recommendation,"Cast, Story",More than 2 years,"Recommendation, Ease of use",Good,Nothing
3/5/2021 22:06,Yes,Daily,"Prime, Hotstar",Original web series,Others,Sacred Games,"Mirzapur, Tandav",None of the above,None of the above,18-30,Social Media,Director,Less than 1 year,Ease of use,Excellent,Nice
3/5/2021 23:19,Yes,Once or twice in a week,"Netflix, Prime","Original web series, Movies, Documentaries","Comedy, Horror, Others","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav","Special OPS, Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
3/6/2021 5:03,Yes,Once or twice in a week,Hotstar,"Original web series, Movies","Comedy, Horror",13 Reasons Why,"Mirzapur, Tandav","Hostages, Arya",None of the above,18-30,Family/Friends Recommendation,"Cast, Story",Between 1 and 2 years,"Search option, Ease of use, Accessibility",Fair,Stop posting irritating ads in between frequently
3/6/2021 14:01,Yes,Once or twice in a week,"Netflix, Hotstar",Original web series,Comedy,None of the above,Mirzapur,Criminal Justice,None of the above,18-30,Family/Friends Recommendation,Story,Less than 1 year,Ease of use,Fair,Not much
3/6/2021 14:37,Yes,Daily,"Netflix, Prime, Hotstar",Original web series,"Action, Drama, Comedy, Horror, Others","Sacred Games, 13 Reasons Why","Mirzapur, Tandav","Special OPS, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Fair,None
3/6/2021 19:32,Yes,Once or twice in a week,Hotstar,Original web series,Comedy,None of the above,None of the above,"Hostages, Criminal Justice, Arya",None of the above,18-30,Social Media,Story,None,Recommendation,Good,No 
3/6/2021 22:46,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries","Action, Drama","Sacred Games, 13 Reasons Why, Money Heist","Mirzapur, Breath into the shadow ","Special OPS, Hostages, Arya",None of the above,18-30,Family/Friends Recommendation,"Cast, Story, Director",More than 2 years,"Search option, Recommendation, Ease of use, Accessibility",Excellent,Please add more description
